,Unnamed: 0,InterIdNew,Weekend,TimeSlot,Left,Right,Straight,Latitude,Longitude,cluster
2,23,Atlanta_10,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.65287,-84.39761999999997,0
15,150,Atlanta_115,0,NormalDay(10:00-16:00),17.2448244080208,0.0,0.0,33.75556,-84.38611999999998,0
18,180,Atlanta_118,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.754490000000004,-84.38431,0
22,220,Atlanta_124,0,NormalDay(10:00-16:00),50.0,41.0,0.0,33.7736,-84.36371,0
25,250,Atlanta_128,0,NormalDay(10:00-16:00),22.0,44.0,0.0,33.74527,-84.30974,0
28,280,Atlanta_130,0,NormalDay(10:00-16:00),28.559392255469493,5.55775653184922,0.0,33.7936,-84.50026,0
40,394,Atlanta_146,0,NormalDay(10:00-16:00),63.0,19.8819802401895,0.0,33.74446,-84.39816,0
43,424,Atlanta_15,0,NormalDay(10:00-16:00),20.5,0.0,0.0,33.7469,-84.38384,0
44,434,Atlanta_150,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.75694,-84.34921,0
45,444,Atlanta_151,0,NormalDay(10:00-16:00),29.649786588856397,7.0,0.0,33.75438,-84.37805,0
52,512,Atlanta_161,0,NormalDay(10:00-16:00),31.0415227089608,82.0,0.0,33.7395,-84.29547,0
56,552,Atlanta_165,0,NormalDay(10:00-16:00),12.9843473015377,0.0,0.0,33.76487,-84.34175,0
57,560,Atlanta_166,0,NormalDay(10:00-16:00),0.0,6.0,0.0,33.76403,-84.39036999999998,0
67,658,Atlanta_181,0,NormalDay(10:00-16:00),9.0,28.784164802495603,0.0,33.73211,-84.41373,0
71,693,Atlanta_185,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.70126,-84.47910999999998,0
78,763,Atlanta_194,0,NormalDay(10:00-16:00),61.657548451599204,30.928963029362503,0.0,33.65138,-84.39437,0
83,806,Atlanta_199,0,NormalDay(10:00-16:00),11.5,0.0,0.0,33.7507,-84.37357,0
97,943,Atlanta_215,0,NormalDay(10:00-16:00),15.5,3.0,0.0,33.78569,-84.36745,0
102,991,Atlanta_220,0,NormalDay(10:00-16:00),20.3905826170025,3.90026594590991,0.0,33.75592,-84.39159000000002,0
103,1001,Atlanta_221,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.74719,-84.30266,0
111,1076,Atlanta_229,0,NormalDay(10:00-16:00),48.6023481919159,3.5069082346177103,0.0,33.79178,-84.39071,0
122,1186,Atlanta_243,0,NormalDay(10:00-16:00),49.962858789741404,52.9078417598701,0.0,33.79181,-84.38938,0
124,1206,Atlanta_245,0,NormalDay(10:00-16:00),15.779277692700699,0.8451337797118442,0.0,33.78118,-84.36886,0
133,1293,Atlanta_259,0,NormalDay(10:00-16:00),21.5,41.3115129011474,0.0,33.748020000000004,-84.38771,0
134,1303,Atlanta_26,0,NormalDay(10:00-16:00),16.0,0.0,0.0,33.686370000000004,-84.49125,0
137,1333,Atlanta_264,0,NormalDay(10:00-16:00),0.0,28.0,0.0,33.751490000000004,-84.37106999999997,0
138,1343,Atlanta_266,0,NormalDay(10:00-16:00),3.0895536603044302,12.217313107333801,0.0,33.75972,-84.39057,0
143,1389,Atlanta_271,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.77312,-84.51504,0
145,1409,Atlanta_274,0,NormalDay(10:00-16:00),10.0,0.0,0.0,33.79189,-84.38908,0
147,1429,Atlanta_278,0,NormalDay(10:00-16:00),33.5,27.0,0.0,33.77129,-84.39072,0
149,1449,Atlanta_281,0,NormalDay(10:00-16:00),20.5,1.82050756098602,0.0,33.75374,-84.49599,0
150,1459,Atlanta_282,0,NormalDay(10:00-16:00),56.0,19.0,0.0,33.77315,-84.37281999999998,0
155,1509,Atlanta_287,0,NormalDay(10:00-16:00),11.5,0.0,0.0,33.73191,-84.41331,0
157,1528,Atlanta_29,0,NormalDay(10:00-16:00),24.0,14.0,0.0,33.74732,-84.31451,0
159,1548,Atlanta_292,0,NormalDay(10:00-16:00),14.0,0.0,0.0,33.762190000000004,-84.38212,0
165,1608,Atlanta_300,0,NormalDay(10:00-16:00),82.0,48.5,0.0,33.801359999999995,-84.40781,0
167,1628,Atlanta_302,0,NormalDay(10:00-16:00),14.315913118633599,42.1095021994393,0.0,33.77471,-84.34506,0
172,1672,Atlanta_309,0,NormalDay(10:00-16:00),45.139614834631395,25.5,0.0,33.76532,-84.3919,0
177,1721,Atlanta_314,0,NormalDay(10:00-16:00),54.0,78.6762269163022,0.0,33.65013,-84.39211,0
179,1738,Atlanta_316,0,NormalDay(10:00-16:00),18.8626531456291,9.134320113792857,0.0,33.78707,-84.40753000000002,0
180,1748,Atlanta_317,0,NormalDay(10:00-16:00),10.5,23.0,0.0,33.75645,-84.39213000000002,0
182,1768,Atlanta_319,0,NormalDay(10:00-16:00),0.0,9.25712747888227,0.0,33.74075,-84.39454,0
197,1914,Atlanta_336,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.7397,-84.32209,0
201,1954,Atlanta_341,0,NormalDay(10:00-16:00),6.01035582077379,38.961298494815004,0.0,33.80124,-84.36751,0
206,2004,Atlanta_346,0,NormalDay(10:00-16:00),46.5,28.0,0.0,33.820640000000004,-84.36755,0
212,2062,Atlanta_352,0,NormalDay(10:00-16:00),57.0,7.0,0.0,33.76998,-84.34903,0
217,2111,Atlanta_361,0,NormalDay(10:00-16:00),13.0,12.0,0.0,33.75162,-84.29223,0
218,2121,Atlanta_362,0,NormalDay(10:00-16:00),29.0,19.0,0.0,33.76888,-84.39609,0
228,2216,Atlanta_375,0,NormalDay(10:00-16:00),3.0,13.5,0.0,33.760940000000005,-84.38418,0
232,2254,Atlanta_380,0,NormalDay(10:00-16:00),44.5,27.408148217123,0.0,33.722,-84.39423000000002,0
237,2304,Atlanta_386,0,NormalDay(10:00-16:00),25.0,16.005423312038698,0.0,33.75844,-84.38763,0
241,2342,Atlanta_390,0,NormalDay(10:00-16:00),51.0,24.0,0.0,33.743320000000004,-84.34921,0
242,2352,Atlanta_391,0,NormalDay(10:00-16:00),12.4584661345698,0.0,0.0,33.78715,-84.40741,0
243,2362,Atlanta_392,0,NormalDay(10:00-16:00),77.0,13.0,0.0,33.82537,-84.36053000000003,0
248,2411,Atlanta_399,0,NormalDay(10:00-16:00),52.4025644216311,39.700278040543104,0.0,33.74478,-84.291,0
249,2421,Atlanta_4,0,NormalDay(10:00-16:00),66.5,34.0,0.0,33.81767,-84.36695999999998,0
254,2471,Atlanta_408,0,NormalDay(10:00-16:00),22.0,13.0,0.0,33.72933,-84.41585,0
258,2511,Atlanta_411,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.74732,-84.30664,0
263,2561,Atlanta_418,0,NormalDay(10:00-16:00),72.5,19.9588774035322,0.0,33.7947,-84.43189,0
264,2571,Atlanta_419,0,NormalDay(10:00-16:00),24.0,1.86595737481544,0.0,33.76782,-84.34900999999998,0
267,2601,Atlanta_421,0,NormalDay(10:00-16:00),31.0,70.5,0.0,33.8315,-84.38546,0
271,2634,Atlanta_428,0,NormalDay(10:00-16:00),0.0,19.0,0.0,33.7584,-84.38422,0
272,2644,Atlanta_429,0,NormalDay(10:00-16:00),7.0,47.5,0.0,33.698190000000004,-84.48329,0
273,2654,Atlanta_43,0,NormalDay(10:00-16:00),0.0,11.5,0.0,33.7304,-84.38795,0
274,2664,Atlanta_430,0,NormalDay(10:00-16:00),32.0,29.0,0.0,33.78663,-84.39041999999998,0
277,2693,Atlanta_435,0,NormalDay(10:00-16:00),49.0,21.5,0.0,33.75543,-84.3492,0
283,2751,Atlanta_444,0,NormalDay(10:00-16:00),0.0,9.90823925400994,0.0,33.68287,-84.50636,0
297,2883,Atlanta_460,0,NormalDay(10:00-16:00),77.0,8.5,0.0,33.75355,-84.34921,0
300,2913,Atlanta_465,0,NormalDay(10:00-16:00),5.2956311895211785,5.3247955011923205,0.0,33.76016,-84.34912,0
305,2962,Atlanta_472,0,NormalDay(10:00-16:00),0.0,39.64667461185,0.0,33.73982,-84.30043,0
316,3072,Atlanta_490,0,NormalDay(10:00-16:00),79.0,30.5,0.0,33.77258,-84.38025999999998,0
323,3142,Atlanta_497,0,NormalDay(10:00-16:00),83.0,9.5,0.0,33.79085,-84.49687,0
324,3152,Atlanta_498,0,NormalDay(10:00-16:00),46.0,5.8027302598279284,0.0,33.74432,-84.40841999999998,0
325,3162,Atlanta_499,0,NormalDay(10:00-16:00),40.0,31.190099292676397,0.0,33.835,-84.40742,0
330,3211,Atlanta_502,0,NormalDay(10:00-16:00),15.0,0.0,0.0,33.75842,-84.38608,0
337,3278,Atlanta_510,0,NormalDay(10:00-16:00),55.2406447246882,14.901342338789801,0.0,33.790820000000004,-84.36711,0
339,3297,Atlanta_512,0,NormalDay(10:00-16:00),50.0,3.0,0.0,33.673559999999995,-84.49715,0
348,3380,Atlanta_54,0,NormalDay(10:00-16:00),70.5,15.0,0.0,33.69558,-84.52786,0
349,3390,Atlanta_56,0,NormalDay(10:00-16:00),20.0,0.0,0.0,33.75967,-84.3842,0
351,3410,Atlanta_58,0,NormalDay(10:00-16:00),13.0,0.0,0.0,33.74743,-84.33182,0
358,3474,Atlanta_70,0,NormalDay(10:00-16:00),11.0,67.0,0.0,33.74739,-84.3263,0
360,3494,Atlanta_72,0,NormalDay(10:00-16:00),17.0,0.0,0.0,33.76271,-84.3527,0
363,3524,Atlanta_76,0,NormalDay(10:00-16:00),114.725026809764,28.126017503260197,0.0,33.76028,-84.34886,0
371,3601,Atlanta_92,0,NormalDay(10:00-16:00),0.0,12.621945310643197,0.0,33.764,-84.389,0
372,3611,Atlanta_93,0,NormalDay(10:00-16:00),0.0,4.1266963393266805,0.0,33.79588,-84.36794,0
